back-squat	back squat
reverse-crunch	reverse crunch
reverse-barbell-curl	reverse barbell curl
pilates-jackknife	pilates jackknife
lying-hip-abduction	lying hip abduction
decline-dumbbell-bench-press	decline dumbbell bench press
rkc-plank	rkc plank
reverse-barbell-wrist-curl	reverse barbell wrist curl
seated-leg-curl	seated leg curl
side-lying-clam	side lying clam
reverse-dumbbell-wrist-curl	reverse dumbbell wrist curl
decline-chest-press-machine	decline chest press machine
single-leg-glute-bridge	single leg glute bridge
dumbbell-romanian-deadlift	dumbbell romanian deadlift
45-degree-side-bend	45 degree side bend
underhand-barbell-row	underhand barbell row
lying-barbell-row	lying barbell row
incline-dumbbell-twist-press	incline dumbbell twist press
standing-cable-fly	standing cable fly
bodyweight-single-leg-deadlift	bodyweight single leg deadlift
barbell-single-leg-deadlift	barbell single leg deadlift
kettlebell-deadlift	kettlebell deadlift
kettlebell-sumo-deadlift	kettlebell sumo deadlift
dumbbell-sumo-deadlift	dumbbell sumo deadlift
dumbbell-stiff-leg-deadlift	dumbbell stiff leg deadlift
dumbbell-lateral-lunge	dumbbell lateral lunge
kettlebell-lateral-lunge	kettlebell lateral lunge
bodyweight-lateral-lunge	bodyweight lateral lunge
single-leg-leg-extension	single leg leg extension
single-leg-leg-curl	single leg leg curl
single-leg-leg-press	single leg leg press
horizontal-leg-press	horizontal leg press
single-leg-horizontal-leg-press	single leg horizontal leg press
seated-single-leg-leg-curl	seated single leg leg curl
nordic-hamstring-curl	nordic hamstring curl
barbell-sumo-squat	barbell sumo squat
kettlebell-sumo-squat	kettlebell sumo squat
sumo-air-squat	sumo air squat
pistol-squat	pistol squat
seated-barbell-shoulder-press	seated barbell shoulder press
seated-dumbbell-shoulder-press	seated dumbbell shoulder press
plate-shoulder-press	plate shoulder press
tricep-extension-machine	tricep extension machine
behind-neck-pulldown	behind neck pulldown
one-arm-cable-pulldown	one arm cable pulldown
one-arm-lateral-wide-pulldown	one arm lateral wide pulldown
y-raise	y raise
low-row-machine	low row machine
one-arm-low-row-machine	one arm low row machine
high-row-machine	high row machine
underhand-high-row-machine	underhand high row machine
one-arm-high-row-machine	one arm high row machine
shrug-machine	shrug machine
cable-shrug	cable shrug
donkey-kick	donkey kick
cable-donkey-kick	cable donkey kick
cable-side-bend	cable side bend
weighted-decline-crunch	weighted decline crunch
decline-reverse-crunch	decline reverse crunch
decline-sit-up	decline sit up
weighted-decline-sit-up	weighted decline sit up
side-crunch	side crunch
deficit-deadlift	deficit deadlift
turkish-get-up	turkish get up
lunge-twist	lunge twist
kettlebell-lunge-twist	kettlebell lunge twist
incline-chest-press-machine	incline chest press machine
cable-twist	cable twist
elliptical-machine	elliptical machine
cable-internal-rotation	cable internal rotation
cable-external-rotation	cable external rotation
one-arm-cable-lateral-raise	one arm cable lateral raise
one-arm-cable-seated-row	one arm cable seated row
dumbbell-squeeze-press	dumbbell squeeze press
one-arm-landmine-press	one arm landmine press
monster-glute-machine	monster glute machine
abdominal-hip-thrust	abdominal hip thrust
weighted-abdominal-hip-thrust	weighted abdominal hip thrust
walking	walking
running	running
bentover-cable-lateral-raise	bentover cable lateral raise
one-arm-dumbbell-lateral-raise	one arm dumbbell lateral raise
hand-gripper-exercise	hand gripper exercise
torso-rotation-machine	torso rotation machine
rack-pull	rack pull
smith-machine-rack-pull	smith machine rack pull
standing-multi-flight-machine	standing multi flight machine
dumbbell-incline-rear-lateral-raise	dumbbell incline rear lateral raise
kettlebell-shoulder-press	kettlebell shoulder press
one-arm-kettlebell-shoulder-press	one arm kettlebell shoulder press
one-arm-dumbbell-incline-lateral-raise	one arm dumbbell incline lateral raise
incline-dumbbell-shoulder-press	incline dumbbell shoulder press
pendulum-squat-machine	pendulum squat machine
bentover-lateral-raise-machine	bentover lateral raise machine
cable-rope-push-down	cable rope push down
linear-hack-squat-machine	linear hack squat machine
standing-shoulder-press-machine	standing shoulder press machine
dumbbell-standing-calf-raise	dumbbell standing calf raise
middle-row-machine	middle row machine
seated-knee-up	seated knee up
side-lying-rear-delt-raise	side lying rear delt raise
side-lying-lateral-raise	side lying lateral raise
back-extension-machine	back extension machine
barbell-backward-lunge	barbell backward lunge
